product_id,product_name,category,sub_category,mrp_inr,cost_price_inr,selling_price_inr,gross_margin_pct,maintenance_level,weight_grams,is_bestseller,avg_customer_rating,total_reviews,stock_available,reorder_level,supplier,shelf_life_days,packaging_type,launched_date,is_active,quick_commerce_eligible,plant_care_guide_available,price_tier,margin_band
PL001,Monstera Deliciosa,Live Plants,Indoor Plants,499,140,449,68.8,Low,1007,Bestseller,4.5,3708,361,71,Import – SE Asia,72,Patented Cylinder Box,2023-06-24,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL002,Peace Lily,Live Plants,Indoor Plants,349,90,299,69.9,Low,1943,Standard,3.9,6530,207,72,Vendor – Pune,50,Patented Cylinder Box,2023-11-29,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL003,Snake Plant (Sansevieria),Live Plants,Indoor Plants,399,100,349,71.3,Very Low,4217,Bestseller,4.4,3259,205,108,Import – SE Asia,54,Patented Cylinder Box,2023-05-30,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL004,Fiddle Leaf Fig,Live Plants,Indoor Plants,899,300,799,62.5,Medium,3734,Standard,4.2,6143,1437,57,Vendor – Hyderabad,48,Patented Cylinder Box,2020-08-19,Yes,Quick Commerce,Guide Available,Premium (Rs500-999),Mid (50-65%)
PL005,Golden Pothos,Live Plants,Indoor Plants,249,60,199,69.8,Very Low,655,Bestseller,4.0,2210,1457,89,Vendor – Kolkata,86,Patented Cylinder Box,2022-07-16,Yes,Quick Commerce,Guide Available,Budget (<Rs200),High (65-75%)
PL006,ZZ Plant,Live Plants,Indoor Plants,549,160,499,67.9,Very Low,3022,Standard,4.6,2791,1521,55,Talegaon Farm (In-house),81,Patented Cylinder Box,2023-09-05,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL007,Spider Plant,Live Plants,Indoor Plants,299,75,249,69.9,Low,1459,Standard,3.9,1255,1896,62,Vendor – Hyderabad,68,Patented Cylinder Box,2021-10-04,Yes,Quick Commerce,Guide Available,Mid (Rs200-499),High (65-75%)
PL008,Money Plant (Epipremnum),Live Plants,Indoor Plants,199,50,179,72.1,Very Low,492,Bestseller,3.9,203,1955,90,Talegaon Farm (In-house),26,Patented Cylinder Box,2022-10-11,Yes,Quick Commerce,Guide Available,Budget (<Rs200),High (65-75%)
PL009,Rubber Plant,Live Plants,Indoor Plants,599,180,549,67.2,Low,3411,Standard,3.9,2722,495,73,Vendor – Hyderabad,47,Patented Cylinder Box,2019-12-14,Yes,Quick Commerce,Guide Available,Premium (Rs500-999),High (65-75%)
PL010,Aglaonema Red,Live Plants,Indoor Plants,699,210,649,67.6,Low,3652,Standard,4.2,4499,1744,114,Vendor – Hyderabad,87,Patented Cylinder Box,2022-03-24,Yes,Quick Commerce,Guide Available,Premium (Rs500-999),High (65-75%)
